noise,model_scores
0.01,"{'car': [0.68, 0.66, 0.64, 0.46, 0.45, 0.3, 0.3], 'truck': [0.58]}"
0.03,"{'car': [0.71, 0.7, 0.7, 0.56, 0.5, 0.39, 0.39], 'truck': [0.51]}"
0.05,"{'car': [0.67, 0.67, 0.58, 0.57, 0.49, 0.31], 'truck': [0.64]}"
0.07,"{'truck': [0.68], 'car': [0.63, 0.58, 0.53, 0.51, 0.33]}"
0.09,"{'car': [0.69, 0.67, 0.65, 0.65, 0.53, 0.44]}"
0.11,"{'car': [0.71, 0.55, 0.54, 0.54, 0.44, 0.39, 0.28, 0.26], 'truck': [0.58]}"
0.13,"{'car': [0.75, 0.72, 0.64, 0.53, 0.44, 0.33, 0.27]}"
0.15,"{'car': [0.73, 0.57, 0.57, 0.48, 0.47, 0.44]}"
0.17,"{'car': [0.77, 0.65, 0.63, 0.55, 0.42, 0.4]}"
0.2,"{'car': [0.62, 0.58, 0.48, 0.44, 0.44, 0.38, 0.36], 'truck': [0.57]}"
0.25,"{'car': [0.8, 0.75, 0.57, 0.52, 0.47, 0.31, 0.28]}"
0.3,"{'car': [0.69, 0.61, 0.56, 0.33, 0.32, 0.29]}"
0.35,"{'car': [0.81, 0.68, 0.31, 0.27]}"
0.4,"{'car': [0.69, 0.48, 0.37, 0.27], 'truck': [0.51]}"
0.5,"{'car': [0.83, 0.55]}"
