noise,model_scores
0.01,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.03,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.05,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.07,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.09,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.11,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.13,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.15,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.17,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.2,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.25,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.3,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.35,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.4,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
0.5,"{'car': [0.92, 0.92, 0.63, 0.57, 0.45, 0.34, 0.26], 'truck': [0.61], 'traffic light': [0.59, 0.44]}"
